Color,Luminance
0.0,
1.0,405.274
0.5,89.974
0.25,19.707
0.125,3.998
0.0625,0.754
0.09375,1.89
0.109375,2.88
0.1015625,2.324
0.09765625,2.2
0.095703125,1.866
0.0966796875,2.192
0.09619140625,2.201
0.095947265625,1.862
0.0960693359375,1.854
0.09613037109375,1.859
0.096160888671875,1.844
0.0961761474609375,1.837
0.09618377685546875,1.829
0.09618759155273438,1.831
0.09618949890136719,1.835
0.0961904525756836,1.842
0.0961909294128418,1.845
0.0961911678314209,1.831
0.09619128704071045,1.829
0.09619134664535522,1.83
0.09619137644767761,1.823
0.0961913913488388,1.818
0.0961913987994194,1.818
0.0961914025247097,2.145
0.09619140066206455,1.817
0.09619140159338713,1.809
0.09619140205904841,1.817
0.09619140229187906,1.804
0.09619140240829438,1.808
0.09619140246650204,1.806
0.09619140249560587,1.797
0.09619140251015779,1.809
0.09619140251743374,1.789
0.09619140252107172,1.788
0.09619140252289071,1.801
0.0961914025238002,1.803
0.09619140252425495,1.795
0.09619140252448233,1.804
0.09619140252459601,1.791
0.09619140252465286,1.797
0.09619140252468128,1.796
0.09619140252469549,1.794
0.0961914025247026,1.794
0.09619140252470615,1.797
0.09619140252470793,1.792
0.09619140252470881,1.782
0.09619140252470926,1.785
0.09619140252470948,1.789
0.09619140252470959,1.778
0.09619140252470965,1.786
0.09619140252470967,1.779
0.09619140252470969,1.779
0.0961914025247097,2.103
0.0961914025247097,2.101
0.0961914025247097,2.097
