Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,8.0,0.11349999999999993,0.5,0
1,4.0,0.08849999999999986,full,0
2,0.5,0.06349999999999997,0.5,0
3,1.0,0.07249999999999986,full,0
4,4.0,0.0885,1,0
5,1.0,0.08500000000000006,1,0
6,8.0,0.12299999999999983,full,0
7,8.0,0.09300000000000003,1,0
8,2.0,0.27200000000000013,16,0
9,4.0,0.09399999999999989,0.5,0
10,4.0,0.108,16,0
11,0.5,0.0699999999999999,full,0
12,2.0,0.06999999999999987,0.5,0
13,8.0,0.12249999999999989,16,0
14,2.0,0.08749999999999997,full,0
15,1.0,0.0794999999999999,0.5,0
16,2.0,0.07549999999999979,1,0
17,1.0,0.09999999999999981,16,0
18,0.5,0.05549999999999988,16,0
19,0.5,0.02700000000000002,1,0
0,8.0,0.1124999999999999,16,1
1,2.0,0.07450000000000002,16,1
2,4.0,0.08449999999999974,16,1
3,2.0,0.0829999999999998,1,1
4,8.0,0.06750000000000005,0.5,1
5,1.0,0.08300000000000002,1,1
6,1.0,0.07600000000000004,full,1
7,1.0,0.09250000000000007,16,1
8,8.0,0.09399999999999994,full,1
9,0.5,0.04599999999999976,0.5,1
10,0.5,0.07350000000000005,16,1
11,1.0,0.05299999999999977,0.5,1
12,2.0,0.06100000000000004,0.5,1
13,0.5,0.043000000000000024,1,1
14,2.0,0.093,full,1
15,0.5,0.08100000000000006,full,1
16,4.0,0.09400000000000003,full,1
17,4.0,0.08500000000000006,1,1
18,4.0,0.08150000000000006,0.5,1
19,8.0,0.08850000000000006,1,1
0,2.0,0.07899999999999988,1,2
