Size_Degree,VRR_Frequency,Luminance,C_t
0.5,0.5,0.991,0.03446038490634908
1.0,0.5,0.716,0.049273602951842285
16.0,0.5,1.907,0.01599004159802949
-1.0,0.5,2.237,0.011447646976755934
0.5,1.0,1.326,0.02455633197861575
1.0,1.0,2.936,0.01017986138205682
16.0,1.0,2.248,0.013175121053944888
-1.0,1.0,2.775,0.008660859420287477
0.5,2.0,1.282,0.025544053661819447
1.0,2.0,2.246,0.013787934307497205
16.0,2.0,2.57,0.011250233699718773
-1.0,2.0,2.72,0.008888505354467975
0.5,4.0,1.682,0.018578931353447698
1.0,4.0,2.546,0.01196460467802401
16.0,4.0,3.202,0.008674393403158691
-1.0,4.0,4.466,0.004667722590099666
0.5,8.0,2.511,0.011575109858870041
1.0,8.0,3.186,0.009278182205689442
16.0,8.0,3.592,0.007570132597892016
-1.0,8.0,5.177,0.0038509950439394483
