Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.641240685452668,0.741854386421382,0.473839594256053,0.0391775183543653,0.0571636583569491,0.0321830438003876
1,0.5,0.5,0.954782504275609,1.12049341870433,0.757398190296492,0.0223441108873541,0.0312693266841474,0.0174397155829636
16,0.5,0.5,1.50808575378288,1.67491454685784,1.36870350827954,0.0106774840056735,0.0125799441695157,0.00891615523963759
-1,0.5,0.5,2.9840760180736,3.20282144087356,2.69656997418712,0.00344719460656487,0.00400782271818696,0.00312294244423024
0.5,1,1,0.990865327528812,1.3349795148111,0.990865327528812,0.0207787088172303,0.0207787088172303,0.0129253061814551
1,1,1,1.86631382932762,1.99729582860453,1.71841085201828,0.00739688280125163,0.00848362444716181,0.00662159281061386
16,1,1,3.12844248885102,3.34355795737545,2.85627378522188,0.00357481326612107,0.00395890131371711,0.00334660543361189
-1,1,1,3.54145184047107,4.56929458317947,3.54145184047107,0.00317847645095251,0.00317847645095251,0.00263178064212215
0.5,2,2,0.97500812792929,1.12156895226496,0.848661527976933,0.0204490357374782,0.0252366481332545,0.0163952428305559
1,2,2,3.69200625229137,3.89346059067563,3.45889857345838,0.00361073974728589,0.00369895708625457,0.00355813587669802
16,2,2,3.44444889316881,3.65896345968511,3.11676611162814,0.00370566004058657,0.00391047144676886,0.00362121877613577
-1,2,2,4.95060819788804,5.24337688195915,4.64078238569282,0.00342926101718077,0.00345736266929989,0.00339950926308208
0.5,4,4,1.61352132389339,1.86448233541863,1.24922184768678,0.00757230336908886,0.0120470873016934,0.00587864766184672
1,4,4,2.07225801061853,2.41050583978405,1.66380820203085,0.00496522519917086,0.00716662370619548,0.00406866670487999
16,4,4,4.69865206585241,4.9391255547478,4.69865206585241,0.00375174246576341,0.00375174246576341,0.00375174246576341
-1,4,4,4.70814525830044,4.90740665764734,4.298438249056,0.00375509780371659,0.00375509780371659,0.00375509780371659
0.5,8,8,2.22874096078325,2.37425502404688,1.95366057557034,0.00185060534448217,0.00285509414493998,0.00150376450323089
1,8,8,2.27164219591085,2.53484491673974,1.99303459925038,0.00173733418040381,0.00267679746131804,0.00122807524994922
16,8,8,6.23108419103503,6.49468844219745,5.87677884683567,0.00224075928484773,0.00224075928484773,0.00224075928484773
-1,8,8,5.33629121979482,5.59886886397528,4.88421612389829,0.00182302622529084,0.00182302622529084,0.00182302622529084
