Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.757727933321663,0.897422554311398,0.627586341465351,39.4520099231848,51.4034133007483,29.3817704963493
1,0.5,0.5,1.59400159524538,1.71122178892057,1.39681292898607,126.234448945593,141.050348894223,102.680059473877
16,0.5,0.5,0.926757835947875,1.79184376084182,0.926757835947875,54.0553703644734,151.58037869163,54.0553703644734
-1,0.5,0.5,1.33762211963694,1.61352324799293,1.33762211963694,95.9570404291556,128.660587268998,95.9570404291556
0.5,2,2,1.56505992675603,1.67216475377711,1.44647061700268,118.810041256198,131.768909748026,105.034888863808
1,2,2,1.87169602737727,2.02131766198717,1.59176785984967,157.172573987042,177.259951354317,121.996126506874
16,2,2,2.30521934932645,2.45411407448559,2.1643557152317,217.70867431741,240.097178002722,197.264921354976
-1,2,2,2.63598842623589,2.77224290026055,2.49800168588242,268.50038683373,290.519789312252,246.846006429766
0.5,4,4,1.05424722208012,1.55264689140538,0.868228985569559,61.3756465196881,112.444657303965,45.3048364600512
1,4,4,2.34491624641791,2.6960655081706,2.04407751033691,214.27253054634,266.52938096788,172.866088728432
16,4,4,2.98830332672317,3.18173970987997,2.78578807146447,313.071431637667,345.33822772964,280.530687591256
-1,4,4,3.11547094286863,3.3198402219406,2.8688282698386,334.155738905212,369.065117346194,293.717974852219
0.5,8,8,2.53420338210371,2.72465104457413,2.03782547434603,222.167796777745,248.826633046708,157.98560169448
1,8,8,2.09812563220112,2.27180687790663,1.90822144394296,165.357468839433,187.258522986021,142.556143000167
16,8,8,4.58775710011442,4.76848618101616,4.35609832277211,562.077588650498,597.089004593505,518.326856877159
-1,8,8,4.34889421261586,4.58519022251688,4.1222059472546,516.986874301552,561.585834689676,475.466171419977
