Duration,VRR_Frequency,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.1,0.5,30,30,NaN,NaN,NaN,NaN
0.1,2,30,30,0.036741303683063,NaN,0.0512230882822891,NaN
0.1,8,30,30,0.0386939755077165,NaN,0.0469262999045086,NaN
0.2,0.5,30,30,0.0537955794709802,NaN,0.0613753563470556,NaN
0.2,2,30,30,0.037998084413357,NaN,0.0459764212865213,NaN
0.2,8,30,30,0.0394461476169126,NaN,0.0465211093207379,NaN
0.4,0.5,30,30,0.0368756912604357,NaN,0.0453306327001598,NaN
0.4,2,30,30,NaN,NaN,NaN,NaN
0.4,8,30,30,0.0852296074305143,0.0782403277974516,0.0917577659316773,NaN
0.8,0.5,30,30,0.0368757650627137,NaN,0.044931151941521,NaN
0.8,2,30,30,0.0922420308872653,0.0849252433249878,0.0985334632346436,NaN
0.8,8,30,30,0.104976973042167,0.101069157788855,0.108485339053615,NaN
1.6,0.5,30,30,0.0851689600472717,0.0780645567697536,0.0899759500164729,NaN
1.6,2,30,30,0.10271239271669,0.0976774162556829,0.106860891989843,NaN
1.6,8,30,30,0.118788761729403,0.112529146495496,0.124277592057035,NaN
3.2,0.5,30,30,0.0876338970645242,0.0795794523816366,0.0965452442961755,NaN
3.2,2,30,30,0.0961479174164686,0.0908228402923903,0.100428755341508,NaN
3.2,8,30,30,0.124241043079918,0.120067618872508,0.128263600570439,NaN
